author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
3SGroup;developer;https://www.cian.ru/sale/flat/305952762/;Москва;sale;flat;3;17;1;26.2;7511582;;;;Корниловская;FOREVILLE
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/308825799/;Москва;sale;flat;8;9;1;32.5;10800000;Тимирязевский; Костякова;2/6;Дмитровская;
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;Можайский;;;Давыдково;Веер ЖК
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/308881388/;Москва;sale;flat;9;9;1;31.4;9200000;Ростокино;проспект Мира;181;Ростокино;
MR Group;developer;https://www.cian.ru/sale/flat/300288186/;Москва;sale;flat;3;49;1;38.79;18572846;Савеловский;;;Дмитровская;Симфония 34 ЖК
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва;sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306951824/;Москва;sale;flat;5;21;1;21.66;5500000;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная;Комплекс апартаментов CITIMIX
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308081007/;Москва;sale;flat;4;6;1;50.2;57228000;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Москва;sale;flat;17;25;1;36.8;9900000;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
Среда;developer;https://www.cian.ru/sale/flat/304753663/;Москва;sale;flat;2;44;1;31.61;14381127;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302630222/;Москва;sale;flat;25;45;1;64.0;40999999;Дорогомилово;Кутузовский проезд;16А/1;Шелепиха;River Park Кутузовский
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/308499820/;Москва;sale;flat;1;5;1;31.3;8400000;Перово;Новогиреевская ;13;Перово;
Tekta Group;developer;https://www.cian.ru/sale/flat/305021240/;Москва;sale;flat;24;34;1;30.0;17691000;Обручевский;;;Воронцовская;Эвер ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/300522888/;Москва;sale;flat;4;5;1;14.4;3450000;Перово; 2-я Энтузиастов;5;Авиамоторная;
MR Group;developer;https://www.cian.ru/sale/flat/308802713/;Москва;sale;flat;2;46;1;34.8;16375836;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;139410000;Якиманка;;;Полянка;Лаврушинский ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306373900/;Москва;sale;flat;13;30;1;93.8;28999999;Щукино;проезд 4-й Красногорский;;Стрешнево;Moments
Пионер;developer;https://www.cian.ru/sale/flat/308640077/;Москва;sale;flat;3;11;1;55.8;52675646;Даниловский;;;Павелецкая;Опус ЖК
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Москва;sale;flat;3;17;1;35.4;14990000;; Эдварда Грига;15;Потапово;
TOUCH;developer;https://www.cian.ru/sale/flat/302838421/;Москва;sale;flat;7;13;1;45.3;27171760;Южнопортовый;;к2;Дубровка;Шампайн ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308605254/;Москва;sale;flat;13;41;1;43.0;23900000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Sminex;developer;https://www.cian.ru/sale/flat/308620473/;Москва;sale;flat;23;26;1;35.67;21910000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Москва;sale;flat;18;22;1;43.0;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
COLDY;developer;https://www.cian.ru/sale/flat/307965932/;Москва;sale;flat;2;15;1;30.8;26977720;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Москва;sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;Даниловский;;;Павелецкая;Хай Лайф ЖК
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Москва;sale;flat;22;32;1;37.35;17780000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Tekta Group;developer;https://www.cian.ru/sale/flat/306869031/;Москва;sale;flat;16;34;1;31.2;15178800;Нагорный;;2;Нагорная;Твелв ЖК
BRAUMOST;real_estate_agent;https://www.cian.ru/sale/flat/293943948/;Москва;sale;flat;5;10;1;48.5;23500000;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/308969450/;Москва;sale;flat;9;21;1;37.7;19905600;Лефортово;;;Площадь Ильича;Символ ЖК
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Москва;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
MR Group;developer;https://www.cian.ru/sale/flat/306603296/;Москва;sale;flat;7;36;1;40.9;30348986;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва;sale;flat;1;10;1;31.0;14500000;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
Мангазея;developer;https://www.cian.ru/sale/flat/308903193/;Москва;sale;flat;6;41;1;36.7;22431040;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307655528/;Москва;sale;flat;3;14;1;43.5;12000000;Марьино; Перерва;26К2;Марьино;
Sense Development;developer;https://www.cian.ru/sale/flat/298147602/;Москва;sale;flat;7;13;1;58.8;37642247;Даниловский; Даниловский Вал;1А;Тульская;Logos
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/308307056/;Москва;sale;flat;15;22;1;30.6;13600000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
FORMA;developer;https://www.cian.ru/sale/flat/309009561/;Москва;sale;flat;3;27;1;32.07;22210238;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
MR Group;developer;https://www.cian.ru/sale/flat/308088559/;Москва;sale;flat;3;7;1;78.45;196125000;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Москва;sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
СИТИ21;developer;https://www.cian.ru/sale/flat/305970241/;Москва;sale;flat;12;15;1;52.6;22080277;Останкинский;проспект Мира;95;Алексеевская;Hill8
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Москва;sale;flat;6;17;1;43.4;19100000;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/307866245/;Москва;sale;flat;8;14;1;35.0;15000000;Гагаринский; Вавилова;52К4;Вавиловская;
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва;sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/302263383/;Москва;sale;flat;14;45;1;41.3;12800000;Нижегородский;Перовское шоссе;;Нижегородская;Level Нижегородская
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/307795498/;Москва;sale;flat;1;5;1;15.0;4950000;Пресненский;Стрельбищенский переулок;22А;Москва-Сити;
ID 497357;realtor;https://www.cian.ru/sale/flat/307664639/;Москва;sale;flat;2;9;1;31.8;12190000;Кунцево;Ельнинская ;22К1;Молодёжная;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308203141/;Москва;sale;flat;15;17;1;34.3;9100000;Марьино;Братиславская ;27К1;Братиславская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307674324/;Москва;sale;flat;4;12;1;35.2;11000000;Головинский;Кронштадтский бульвар;19К2;Водный стадион;
ID 96167522;realtor;https://www.cian.ru/sale/flat/299789842/;Москва;sale;flat;9;9;1;36.9;8850000;Люблино; Верхние Поля;27С2;Братиславская;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305918006/;Москва;sale;flat;4;4;1;16.4;5030000;Марфино;Малая Ботаническая ;10А;Фонвизинская;
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Москва;sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
ID 93236063;homeowner;https://www.cian.ru/sale/flat/308417143/;Москва;sale;flat;3;12;1;37.0;15890000;Академический; Винокурова;2;Академическая;
PIONEER;developer;https://www.cian.ru/sale/flat/306809960/;Москва;sale;flat;2;22;1;31.4;17903652;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305283165/;Москва;sale;flat;16;17;1;37.1;10299000;Марьино; Перерва;33;Братиславская;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304453140/;Москва;sale;flat;49;66;1;44.6;44154000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Москва;sale;flat;4;15;1;53.36;13950000;; Татьянин Парк;16к1;Говорово;
Мария Рыськина;realtor;https://www.cian.ru/sale/flat/308543607/;Москва;sale;flat;5;12;1;33.5;14500000;Беговой;Ленинградский проспект;33А;Динамо;
Среда;developer;https://www.cian.ru/sale/flat/303859440/;Москва;sale;flat;3;13;1;35.3;14768813;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Москва;sale;flat;13;14;1;39.0;17600000;Таганский;переулок Ковров;1;Москва-Товарная;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296193001/;Москва;sale;flat;6;9;1;37.04;10800000;Косино-Ухтомский; Николая Старостина;14;Реутов;МФК CITIMIX Новокосино
Dominanta;developer;https://www.cian.ru/sale/flat/304842023/;Москва;sale;flat;5;34;1;38.6;23970600;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Москва;sale;flat;5;6;1;43.0;26900000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ЕСН;real_estate_agent;https://www.cian.ru/sale/flat/308251620/;Москва;sale;flat;3;14;1;35.0;10500000;Северное Тушино;Планерная ;24К1;Планерная;
Hutton Development;developer;https://www.cian.ru/sale/flat/305627360/;Москва;sale;flat;8;17;1;50.8;36423600;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042655/;Москва;sale;flat;30;79;1;78.0;92880000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/308453701/;Москва;sale;flat;17;25;1;50.0;19500000;Хорошево-Мневники;бульвар Генерала Карбышева;16;Бульвар Генерала Карбышева;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/308943255/;Москва;sale;flat;2;9;1;27.4;10921092;Головинский;Северный ао;;Коптево;Михалковский ЖК
Евгений Белокуров;realtor;https://www.cian.ru/sale/flat/306602662/;Москва;sale;flat;4;23;1;41.8;20850000;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
ИПОМАКС;real_estate_agent;https://www.cian.ru/sale/flat/301129398/;Москва;sale;flat;7;16;1;45.0;7500000;;;23А;Апрелевка;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/292442349/;Москва;sale;flat;3;13;1;47.0;23876000;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301078527/;Москва;sale;flat;4;5;1;47.0;41600000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва;sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Донстрой;developer;https://www.cian.ru/sale/flat/309018369/;Москва;sale;flat;6;50;1;49.3;25621210;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
МГСН-Проспект Мира;real_estate_agent;https://www.cian.ru/sale/flat/308907514/;Москва;sale;flat;10;19;1;60.0;27500000;Хорошево-Мневники;проспект Маршала Жукова;76к2;Народное Ополчение;
ИПОМАКС;real_estate_agent;https://www.cian.ru/sale/flat/306542403/;Москва;sale;flat;3;5;1;28.0;5350000;;;5;Апрелевка;
Sminex;developer;https://www.cian.ru/sale/flat/306155439/;Москва;sale;flat;2;23;1;56.0;59120000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305957125/;Москва;sale;flat;2;12;1;51.2;31300000;Сокол; Врубеля;4к1;Сокол;Врубеля 4
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308324769/;Москва;sale;flat;4;14;1;35.0;13500000;Южнопортовый; Сайкина;7;Автозаводская;
Донстрой;developer;https://www.cian.ru/sale/flat/308969237/;Москва;sale;flat;2;16;1;54.7;43377100;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Имена;developer;https://www.cian.ru/sale/flat/304239716/;Москва;sale;flat;3;14;1;30.45;25364850;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20500000;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
Трансстройинвест;developer;https://www.cian.ru/sale/flat/306658027/;Москва;sale;flat;2;24;1;43.5;17768630;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Основа;developer;https://www.cian.ru/sale/flat/293623772/;Москва;sale;flat;6;28;1;43.5;17182500;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/301551679/;Москва;sale;flat;24;57;1;43.9;18984116;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308852454/;Москва;sale;flat;9;12;1;39.0;13500000;Теплый Стан; Академика Бакулева;6;Тропарёво;
Основа;developer;https://www.cian.ru/sale/flat/304303436/;Москва;sale;flat;3;5;1;37.1;17140200;Марфино;Ботаническая ;29К1;Владыкино;VERY
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307295985/;Москва;sale;flat;3;24;1;42.6;21500000;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
Донстрой;developer;https://www.cian.ru/sale/flat/308968773/;Москва;sale;flat;3;12;1;53.1;96965910;Хамовники;531-й кв-л;;Спортивная;Дом 22 ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307257825/;Москва;sale;flat;11;12;1;61.3;38000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
TOUCH;developer;https://www.cian.ru/sale/flat/305603339/;Москва;sale;flat;4;27;1;46.32;32198000;Крылатское;Крылатская ;23;Молодёжная;Дом Горизонтов
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304572948/;Москва;sale;flat;3;14;1;39.0;9300000;Ново-Переделкино; Шолохова;2;Новопеределкино;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/307251020/;Москва;sale;flat;6;9;1;44.4;21445200;;;В14 кв-л;Серебряный Бор;Сберсити ЖК
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/301447889/;Москва;sale;flat;2;16;1;39.43;17920935;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/308801170/;Москва;sale;flat;13;25;1;38.8;14800000;Щукино; Берзарина;30Б;Бульвар Генерала Карбышева;Октябрьское поле
MR Group;developer;https://www.cian.ru/sale/flat/308167171/;Москва;sale;flat;6;15;1;36.4;14672330;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307585490/;Москва;sale;flat;17;22;1;43.5;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ФСК;developer;https://www.cian.ru/sale/flat/308422170/;Москва;sale;flat;4;52;1;32.3;19115140;Хорошевский;3-й Хорошевский проезд;3А;;AMBER CITY
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304952945/;Москва;sale;flat;11;20;1;44.0;22490000;Левобережный;;В3;Беломорская;Акватория ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/307565722/;Москва;sale;flat;2;19;1;55.2;60278400;Замоскворечье;Большая Татарская ;35С7-9;Новокузнецкая;Татарская 35
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308862796/;Москва;sale;flat;13;20;1;48.9;26500000;Раменки; Василия Ланового;3;Аминьевская;Событие
MR Group;developer;https://www.cian.ru/sale/flat/308752231/;Москва;sale;flat;14;39;1;40.25;16317012;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Брусника;developer;https://www.cian.ru/sale/flat/304369747/;Москва;sale;flat;5;21;1;36.6;27290000;Даниловский;Дубининская ;вл59к2;;Дом А
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308783142/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
